Date OS;Nature de prestation;Service bénéficiaire;Rubrique budgétaire;Fournisseur;type Frs;type de dépense;Montant dépens TTC;Service bénéficiair;type budget(I,F);délai d’exécution;délai réel d’exécution.
04/05/2012 0:00;Acquisition de fournitures informatiques;Direction régionale TANGER TETOUAN (DRTT);Achat de fournitures informatiques;COMPUTER MORROCO SOLUTION ;local;Bon de commandes;96 000;Direction régionale TANGER TETOUAN (DRTT);Investissement;0;
01/19/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;28 380;Siege;Investissement;0;
03/07/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;11 220;Siege;Investissement;0;
12/29/2011 00:00:00;Acquisition du Mobilier de Bureau;Ex Siége;Mobilier de bureau;MAROC BUREAU;local;Marché Fournitures;532 634;Ex Siége;Investissement;2;
04/18/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale FES-SAISS (DRFS);Achat de fournitures de bureau;REPER;local;Bon de commandes;6 840;Direction régionale FES-SAISS (DRFS);Investissement;0;
01/24/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;192;Ex Siége;Investissement;0;
01/30/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;204;Ex Siége;Investissement;0;
06/12/2012 0:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;1 248;Siege;Investissement;0;
06/07/2012 0:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;624;Siege;Investissement;0;
05/25/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;624;Siege;Investissement;0;
01/18/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";PRIMAPHOT;local;Bon de commandes;1 100;Siege;Investissement;0;
06/07/2012 0:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;936;Siege;Investissement;0;
02/13/2012 00:00:00;Service;Direction régionale CHAOUIA TADLA (DRCT);"Voyage et déplacement									";STE NATIONALE DES AUTOROUTES DU MAROC;local;Bon de commandes;1 000;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
10/17/2011 00:00:00;Service;Siege;Terrains bâtis;TRIKI INGENIERIE;local;Bon de commandes;19 200;Siege;Investissement;0;
02/02/2012 0:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 121;Siege;Investissement;0;
01/26/2012 00:00:00;Entretien et réparation des biens mobiliers;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 581;Siege;Investissement;0;
01/13/2012 00:00:00;Travaux;Ex Siége;Agencements et aménagements des constructions;MAX AFFAIRE S.A.R.L;local;Marché Travaux;1 793 237;Ex Siége;Investissement;6;
03/13/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;1 104;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
08/30/2011 00:00:00;Travaux;Ex Siége;Agencements et aménagements des constructions;MAX AFFAIRE S.A.R.L;local;Marché Travaux;899 688;Ex Siége;Investissement;6;
11/14/2011 00:00:00;Travaux;Ex Siége;Agencements et aménagements des constructions;BORA CONSTRUCTION;local;Marché Travaux;530 515;Ex Siége;Investissement;4;
02/08/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Formation									";HMD CONSULTING;local;Bon de commandes;19 200;Ex Siége;Investissement;1;
12/19/2011 00:00:00;Service;Siege;"Voyage et déplacement									";MONARCH TRAVEL;local;Bon de commandes;3 332;Siege;Investissement;0;
02/21/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";GLOBAL-ENGINES;local;Bon de commandes;977;Siege;Investissement;0;
01/19/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;EXTREME PROD;local;Bon de commandes;21 270;Siege;Investissement;0;
11/11/2011 0:00;Service;Ex Siége;"Réception & participation aux manifestations officielles									";EXCELLENCE TRAITEUR;local;Bon de commandes;113 850;Ex Siége;Investissement;0;
10/12/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;BUROPA;local;Bon de commandes;137 064;Ex Siége;Investissement;0;
09/14/2011 00:00:00;Service;Ex Siége;"Entretien et réparations des biens immobiliers									";OTIS MAROC;local;Bon de commandes;21 057;Ex Siége;Investissement;0;
02/28/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";HOTEL PARADOR AL MASSIRA;local;Bon de commandes;28 298;Siege;Investissement;0;
12/19/2011 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;23 800;Siege;Investissement;0;
03/15/2012 00:00:00;Acquisition de fournitures informatiques;Direction régionale CHAOUIA TADLA (DRCT);Achat de fournitures informatiques;MOUJAHIDCOM S.A.R.L;local;Bon de commandes;32 400;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
02/27/2012 00:00:00;Formation;Siege;"Formation									";FINATECH GROUP;local;Bon de commandes;8 400;Siege;Investissement;0;
12/08/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;1 050;Ex Siége;Investissement;0;
01/26/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;96;Ex Siége;Investissement;0;
01/30/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;600;Ex Siége;Investissement;0;
02/01/2012 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;480;Ex Siége;Investissement;0;
02/01/2012 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;1 020;Ex Siége;Investissement;0;
03/07/2012 0:00;Entretien et réparation des biens mobiliers;Direction régionale CHAOUIA TADLA (DRCT);"Entretien et réparations des biens mobiliers									";BURINTEL S.A.R.L;local;Bon de commandes;15 360;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/09/2011 0:00;Travaux d'impression;Ex Siége;"Publications									";IMPRESSION AL MAARIF AL JADIDA;local;Marché Services;380 520;Ex Siége;Investissement;1 096;
12/02/2011 0:00;Service;Ex Siége;"Publications									";SHEM'S PUBLICITE;local;Marché Services;408 000;Ex Siége;Investissement;0;
01/26/2012 00:00:00;Entretien et réparation des biens mobiliers;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;1 489;Siege;Investissement;0;
06/29/2011 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;3 960;Siege;Investissement;0;
01/16/2012 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;24 500;Siege;Investissement;0;
01/16/2012 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;17 850;Siege;Investissement;0;
01/30/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;456;Ex Siége;Investissement;0;
01/30/2012 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;432;Ex Siége;Investissement;0;
01/31/2012 00:00:00;documentation générale;Direction régionale FES-SAISS (DRFS);"Documentation générale									";AHRIM BOUBKER;local;Bon de commandes;832;Direction régionale FES-SAISS (DRFS);Investissement;0;
03/01/2012 0:00;documentation générale;Direction régionale CHAOUIA TADLA (DRCT);"Documentation générale									";LIBRAIRIE EL RAZI SETTAT;local;Bon de commandes;1 541;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/29/2011 00:00:00;Formation;Siege;"Formation									";UNIVERSITE HASSAN II ;local;Bon de commandes;16 800;Siege;Investissement;0;
02/29/2012 00:00:00;documentation générale;Direction régionale FES-SAISS (DRFS);"Documentation générale									";AHRIM BOUBKER;local;Bon de commandes;826;Direction régionale FES-SAISS (DRFS);Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
02/20/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									";Ste  AYOUR;local;Bon de commandes;1 004;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
02/08/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;23 976;Siege;Investissement;0;
03/23/2012 00:00:00;Travaux;Ex Siége;Agencements et aménagements des constructions;ASSAMR DE CONSTRUCTION;local;Marché Travaux;1 731 264;Ex Siége;Investissement;4;
01/04/2012 0:00;Travaux;Ex Siége;Agencements et aménagements des constructions;ASSAMR DE CONSTRUCTION;local;Marché Travaux;1 731 264;Ex Siége;Investissement;4;
01/03/2012 0:00;Travaux;Ex Siége;Agencements et aménagements des constructions;ASSAMR DE CONSTRUCTION;local;Marché Travaux;1 731 264;Ex Siége;Investissement;4;
12/19/2011 00:00:00;Formation;Ex Siége;"Formation									";Faculté des sciences techniques;local;Bon de commandes;24 500;Ex Siége;Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
11/17/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;930;Ex Siége;Investissement;0;
03/02/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;23 976;Siege;Investissement;0;
02/28/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";GLOBAL-ENGINES;local;Bon de commandes;616;Siege;Investissement;0;
12/13/2011 00:00:00;Service;Ex Siége;Achats de travaux, études et prestations de service;INFOTEAM;local;Marché Services;734 400;Ex Siége;Investissement;2;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";ECOLE SUPERIEURE DE TECHNOLOGIE;local;Bon de commandes;14 000;Ex Siége;Investissement;0;
06/13/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;DAR EL KOUNACHE;local;Bon de commandes;204 960;Ex Siége;Investissement;0;
02/27/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Voyage et déplacement									";ICO TOURS INTERNATIONAL;local;Bon de commandes;12 174;Siege;Investissement;0;
03/05/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";LAGLYAL HASSAN FLEURISTE;local;Bon de commandes;9 600;Siege;Investissement;0;
02/07/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";DELIPAT PAUL;local;Bon de commandes;3 605;Siege;Investissement;0;
01/05/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;3 080;Siege;Investissement;0;
12/19/2011 00:00:00;Acquisition de fournitures informatiques;Ex Siége;Matériel informatique;GTS GENERAL TECHNOLOGY AND SERVICES ;local;Bon de commandes;39 600;Ex Siége;Investissement;0;
04/02/2012 0:00;Service;Siege;"Missions									";ICO TOURS INTERNATIONAL;local;Bon de commandes;9 374;Siege;Investissement;0;
04/11/2012 0:00;entretien et la maintenance du matriel informatique;Direction régionale TANGER TETOUAN (DRTT);"Maintenance des agencements & installations techniques									";WORLD VIDEO DISTRIBUTION;local;Bon de commandes;12 000;Direction régionale TANGER TETOUAN (DRTT);Investissement;0;
02/01/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Documentation générale									";PAPETERIE MOURAI;local;Bon de commandes;17 921;Siege;Investissement;0;
01/19/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale ORIENT (DRO);Achat de fournitures de bureau;OCS (ORIENTAL COPIE SERVICE);local;Bon de commandes;17 700;Direction régionale ORIENT (DRO);Investissement;0;
04/18/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale FES-SAISS (DRFS);Achat de fournitures de bureau;WORLD VIDEO DISTRIBUTION;local;Bon de commandes;10 080;Direction régionale FES-SAISS (DRFS);Investissement;0;
04/05/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";PRIMAPHOT;local;Bon de commandes;1 100;Siege;Investissement;0;
04/26/2012 00:00:00;Formation;Siege;"Formation									";AUDIT CONSEIL FORMATION;local;Bon de commandes;4 200;Siege;Investissement;0;
05/23/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE AFRAH BENLAFKIH;local;Bon de commandes;2 123;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
02/02/2012 0:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;3 580;Siege;Investissement;0;
04/12/2012 0:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 721;Siege;Investissement;0;
12/19/2011 00:00:00;Formation;Ex Siége;"Formation									";Faculté des S.J.E.S settat;local;Bon de commandes;17 500;Ex Siége;Investissement;0;
04/30/2012 00:00:00;documentation générale;Direction régionale CHAOUIA TADLA (DRCT);"Documentation générale									";LIBRAIRIE EL RAZI SETTAT;local;Bon de commandes;1 348;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
05/02/2012 0:00;Service;Direction régionale CHAOUIA TADLA (DRCT);"Voyage et déplacement									";STE NATIONALE DES AUTOROUTES DU MAROC;local;Bon de commandes;1 000;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
02/29/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 978;Siege;Investissement;0;
03/22/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";GLOBAL-ENGINES;local;Bon de commandes;766;Siege;Investissement;0;
04/18/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;MAPAMA;local;Marché Fournitures;93 002;Siege;Investissement;0;
02/13/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;4 373;Siege;Investissement;0;
04/03/2012 0:00;Service;Siege;"Voyage et déplacement									";ICO TOURS INTERNATIONAL;local;Bon de commandes;2 984;Siege;Investissement;0;
01/10/2012 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;1 030;Ex Siége;Investissement;0;
04/18/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;MAPAMA;local;Marché Fournitures;59 064;Siege;Investissement;0;
04/25/2012 00:00:00;Réparation;Direction régionale CHAOUIA TADLA (DRCT);"Entretien et réparations des biens mobiliers									";BURINTEL S.A.R.L;local;Bon de commandes;7 920;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
05/08/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";ELMINZAH HOTEL;local;Bon de commandes;8 193;Siege;Investissement;0;
05/09/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";ELMINZAH HOTEL;local;Bon de commandes;137 050;Siege;Investissement;0;
03/26/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;3 474;Siege;Investissement;0;
05/11/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";ELMINZAH HOTEL;local;Bon de commandes;2 683;Siege;Investissement;0;
06/01/2012 0:00;Réparation;Direction régionale CHAOUIA TADLA (DRCT);"Maintenance des agencements & installations techniques									";STE ELECTRO CYCLES SETTAT;local;Bon de commandes;2 400;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/29/2011 00:00:00;Formation;Ex Siége;"Formation									";INISAN;local;Marché Services;204 000;Ex Siége;Investissement;0;
05/31/2012 00:00:00;documentation générale;Direction régionale FES-SAISS (DRFS);"Documentation générale									";AHRIM BOUBKER;local;Bon de commandes;917;Direction régionale FES-SAISS (DRFS);Investissement;0;
03/31/2012 00:00:00;documentation générale;Direction régionale FES-SAISS (DRFS);"Documentation générale									";AHRIM BOUBKER;local;Bon de commandes;886;Direction régionale FES-SAISS (DRFS);Investissement;0;
03/15/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Formation									";FINATECH GROUP;local;Bon de commandes;12 000;Siege;Investissement;0;
03/21/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale ORIENT (DRO);Achat de fournitures de bureau;BUREAU MARKET;local;Bon de commandes;76 716;Direction régionale ORIENT (DRO);Investissement;0;
02/20/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 686;Siege;Investissement;0;
02/22/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;2 960;Siege;Investissement;0;
02/13/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;4 131;Siege;Investissement;0;
01/26/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;5 608;Siege;Investissement;0;
02/20/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;981;Siege;Investissement;0;
02/20/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;987;Siege;Investissement;0;
03/22/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";GLOBAL-ENGINES;local;Bon de commandes;289;Siege;Investissement;0;
03/01/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Documentation générale									";PAPETERIE MOURAI;local;Bon de commandes;20 936;Siege;Investissement;0;
06/29/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE AFRAH BENLAFKIH;local;Bon de commandes;990;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/06/2011 0:00;Acquisition du Matériels de Bureau;Ex Siége;Matériel de bureau;FINATECH GROUP;local;Marché Fournitures;499 320;Ex Siége;Investissement;2;
01/19/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;348;Siege;Investissement;0;
01/01/2012 0:00;Service;Ex Siége;"Assurances multirisques (vol, incendie, responsabilité civil¿)									";GRAS SAVOYE;local;Marché Services;328 320;Ex Siége;Investissement;1 126;
03/15/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Formation									";CONSILIUM;local;Bon de commandes;4 800;Siege;Investissement;0;
02/20/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Formation									";ETHIX;local;Bon de commandes;19 200;Siege;Investissement;0;
03/01/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Formation									";ETHIX;local;Bon de commandes;9 600;Siege;Investissement;0;
06/29/2011 00:00:00;Service;Ex Siége;Autres immobilisations incorporelles;K.P.M.G;local;Marché Services;1 757 400;Ex Siége;Investissement;570;
04/26/2012 00:00:00;Acquisition du consommable informatique;Siege;Achat de fournitures informatiques;RABAT BUREAU;local;Marché Fournitures;128 640;Siege;Investissement;0;
05/07/2012 0:00;Acquisition de fournitures de bureau;Direction régionale FES-SAISS (DRFS);Achat de fournitures de bureau;REPER;local;Bon de commandes;11 466;Direction régionale FES-SAISS (DRFS);Investissement;0;
04/27/2012 00:00:00;Service;Siege;"Taxe sur les véhicules									";STE NATIONALE DES AUTOROUTES DU MAROC;local;Bon de commandes;4 000;Siege;Investissement;0;
04/24/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale CHAOUIA TADLA (DRCT);Achat de fournitures de bureau; STE BUREAUTIQUE FARIRE;local;Bon de commandes;46 080;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
04/30/2012 00:00:00;documentation générale;Direction régionale FES-SAISS (DRFS);"Documentation générale									";AHRIM BOUBKER;local;Bon de commandes;757;Direction régionale FES-SAISS (DRFS);Investissement;0;
05/09/2012 0:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE AFRAH BENLAFKIH;local;Bon de commandes;1 408;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
03/19/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale FES-SAISS (DRFS);Achat de fournitures de bureau;TECHNIC FILE;local;Bon de commandes;4 320;Direction régionale FES-SAISS (DRFS);Investissement;20;
04/02/2012 0:00;documentation générale;Siege;"Documentation générale									";PAPETERIE MOURAI;local;Bon de commandes;19 453;Siege;Investissement;0;
05/04/2012 0:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE BUREAUTIQUE FARIRE;local;Bon de commandes;600;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
01/12/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";DOS;local;Bon de commandes;75 340;Siege;Investissement;0;
01/19/2012 00:00:00;Réparation;Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM);"Entretien et réparations des biens mobiliers									";STE VIVO ENERGY MAROC S. A  (EX SHELL);local;Bon de commandes;304;Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM);Investissement;0;
06/28/2012 00:00:00;Entretien et réparation des biens mobiliers;Direction régionale CHAOUIA TADLA (DRCT);"Entretien et réparations des biens mobiliers									";BURINTEL S.A.R.L;local;Bon de commandes;3 000;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
05/31/2012 00:00:00;Acquisition de fournitures de bureau;Direction régionale FES-SAISS (DRFS);Achat de fournitures de bureau;IMAGERIE PUB NEON;local;Bon de commandes;44 136;Direction régionale FES-SAISS (DRFS);Investissement;0;
04/03/2012 0:00;Service;Siege;"Taxe sur les véhicules									";STE NATIONALE DES AUTOROUTES DU MAROC;local;Bon de commandes;20 500;Siege;Investissement;0;
04/19/2012 00:00:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE AFRAH BENLAFKIH;local;Bon de commandes;1 386;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
12/09/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;MAPAMA;local;Marché Fournitures;986 400;Ex Siége;Investissement;1;
12/09/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;MAPAMA;local;Marché Fournitures;986 400;Ex Siége;Investissement;1;
12/09/2011 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;MAPAMA;local;Marché Fournitures;986 400;Ex Siége;Investissement;1;
02/22/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;4 360;Siege;Investissement;0;
02/23/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;3 644;Siege;Investissement;0;
03/06/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;1 030;Siege;Investissement;0;
01/19/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;2 296;Siege;Investissement;0;
02/29/2012 00:00:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";EL ASRY BRAHIM;local;Bon de commandes;2 341;Siege;Investissement;0;
12/02/2011 0:00;Acquisition de fournitures informatiques;Ex Siége;Installations techniques;TECHNIC FILE;local;Marché Fournitures;368 592;Ex Siége;Investissement;90;
09/30/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;330;Ex Siége;Investissement;0;
03/14/2012 00:00:00;Acquisition de fournitures informatiques;Direction régionale TENSIFT ATLANTIQUE (DRTA);Achat de fournitures informatiques;AL AMANE BUREAU;local;Bon de commandes;57 432;Direction régionale TENSIFT ATLANTIQUE (DRTA);Investissement;0;
02/02/2012 0:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;264;Ex Siége;Investissement;0;
04/27/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;264;Siege;Investissement;0;
04/27/2012 00:00:00;Acquisition de fournitures de bureau;Siege;Achat de fournitures de bureau;IMPRIMERIE ETOILE D'OR;local;Bon de commandes;264;Siege;Investissement;0;
05/02/2012 0:00;Réception et participation aux manifestations officielles;Siege;"Réception & participation aux manifestations officielles									";TOP CLASS ESPRESSO;local;Bon de commandes;23 976;Siege;Investissement;0;
03/22/2012 00:00:00;Réparation;Siege;"Entretien et réparations des biens mobiliers									";RENAULT COMMERCE MAROC;local;Bon de commandes;3 980;Siege;Investissement;0;
05/09/2012 0:00;Réception et participation aux manifestations officielles;Direction régionale CHAOUIA TADLA (DRCT);"Réception & participation aux manifestations officielles									"; STE AFRAH BENLAFKIH;local;Bon de commandes;6 369;Direction régionale CHAOUIA TADLA (DRCT);Investissement;0;
