,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
2121,213/2011,2011,2011-10-13 00:00:00,Achat de fournitures de bureau,Engagement,180.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2122,221/2011,2011,2011-10-18 00:00:00,Réception & participation aux manifestations officielles									,Engagement,600.0,VITA MAROC,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
2123,358/2011,2011,2011-09-22 00:00:00,Achat de fournitures de bureau,Engagement,27480.0,ASOMIE SA,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
2124,149/2011,2011,2011-09-14 00:00:00,Achat de fournitures de bureau,Engagement,198.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2125,81/2011,2011,2011-08-13 00:00:00,Achats de fournitures & Consommable médical,Engagement,152776.96,COMELAB,Bon de commandes,Acquisition du consommable médical,Ex Siége,Investissement
2126,127/2011,2011,2011-08-29 00:00:00,Matériel de bureau,Engagement,75600.0,MOGESSE,Bon de commandes,Acquisition du Matériels de Bureau,Ex Siége,Investissement
2127,57/2011,2011,2011-05-12 00:00:00,Achat de fournitures de bureau,Engagement,38976.0,SIFEB,Marché Fournitures,Acquisition de fournitures de bureau,Ex Siége,Investissement
2128,78/2011,2011,2011-08-13 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,187611.6,SOCIETE CIEP ,Bon de commandes,Acquisition de fournitures sanitaires,Ex Siége,Investissement
2129,152/2011,2011,2011-09-14 00:00:00,Réception & participation aux manifestations officielles									,Engagement,18875.4,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
2130,558/2011,2011,2012-03-08 00:00:00,Publications									,Engagement,196322.5,IMPRIMERIE EL MAARIF EL JADIDA,Marché Services,Travaux d'impression,Ex Siége,Investissement
2131,506/2011,2011,2012-02-07 00:00:00,Honoraires									,Engagement,108000.0,LMS FORMATION SARL,Marché Services,Service,Ex Siége,Investissement
2132,410/2011,2011,2011-12-13 00:00:00,Achat de fournitures de bureau,Engagement,14400.0,SILVER BUREAU,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2133,484/2011,2011,2012-02-01 00:00:00,Achat de fournitures de bureau,Engagement,1152.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2134,485/2011,2011,2012-02-01 00:00:00,Achat de fournitures de bureau,Engagement,1782.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2135,486/2011,2011,2012-02-01 00:00:00,Achat de fournitures de bureau,Engagement,384.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2136,494/2011,2011,2012-02-02 00:00:00,Achat de fournitures de bureau,Engagement,528000.0,MAILEVA MAROC ,Marché Fournitures,Acquisition de fournitures de bureau,Ex Siége,Investissement
2137,496/2011,2011,2012-02-02 00:00:00,Assurances matériel de transport,Engagement,2061.46,GRAS SAVOYE,Marché Services,Service,Ex Siége,Investissement
2138,501/2011,2011,2012-02-03 00:00:00,Achat de fournitures de bureau,Engagement,204.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
2139,507/2011,2011,2012-02-07 00:00:00,Honoraires									,Engagement,54600.0,LMS FORMATION SARL,Marché Services,Service,Ex Siége,Investissement
2140,539/2011,2011,2012-02-29 00:00:00,Matériel informatique,Engagement,998817.6,ARES Maroc,Marché Fournitures,SOLUTION INFORMATIQUE,Ex Siége,Investissement
2141,49/2012,2012,2012-03-06 00:00:00,Formation									,Engagement,16800.0,UNIVERSITE HASSAN II ,Bon de commandes,Formation,Siege,Investissement
2142,126/2012,2012,2012-03-21 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,977.0,GLOBAL-ENGINES,Bon de commandes,Réparation,Siege,Investissement
2143,607/2011,2011,2012-03-26 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3960.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2144,305/2012,2012,2012-03-15 00:00:00,Achat de fournitures informatiques,Engagement,32400.0,MOUJAHIDCOM S.A.R.L,Bon de commandes,Acquisition de fournitures informatiques,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2145,282/2012,2012,2012-03-26 00:00:00,"Achats de travaux, études et prestations de service",Engagement,734400.0,INFOTEAM,Marché Services,Service,Ex Siége,Investissement
2146,1146/2012,2012,2012-06-15 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,481.2,CHIFA PIECE AUTOS,Bon de commandes,Réparation,Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
2147,75/2012/94100,2012,2012-02-07 00:00:00,Documentation générale									,Engagement,832.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
2148,128/2012,2012,2012-03-21 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3220.0,RESTAURANT LA FIBULE,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2149,735/2011,2011,2012-04-25 00:00:00,Formation									,Engagement,17500.0,Faculté des S.J.E.S settat,Bon de commandes,Formation,Ex Siége,Investissement
2150,574/2012,2012,2012-05-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,5608.34,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2151,974/2012,2012,2012-05-30 00:00:00,Réception & participation aux manifestations officielles									,Engagement,8192.8,ELMINZAH HOTEL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2152,526/2012,2012,2012-04-27 00:00:00,Taxe sur les véhicules									,Engagement,4000.0,STE NATIONALE DES AUTOROUTES DU MAROC,Bon de commandes,Service,Siege,Investissement
2153,435/2012,2012,2012-04-18 00:00:00,Achat de fournitures de bureau,Engagement,348.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2154,1040/2012,2012,2012-06-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1278.95,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2155,691/2012,2012,2012-05-10 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2295.6,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2156,573/2012,2012,2012-05-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3643.54,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2157,681/2012,2012,2012-05-10 00:00:00,Missions									,Engagement,17436.0,ICO TOURS INTERNATIONAL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2158,343/2012/94100,2012,2012-06-14 00:00:00,Réception & participation aux manifestations officielles									,Engagement,7656.75,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale FES-SAISS (DRFS),Investissement
2159,1151/2012,2012,2012-06-18 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1086.0,ATLAS COURANT,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
2160,1644/2012,2012,2012-08-01 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1153.4,GLOBAL-ENGINES,Bon de commandes,Réparation,Siege,Investissement
2161,1312/2012,2012,2012-07-04 00:00:00,Achat de fournitures de bureau,Engagement,1248.0,IMPRIMERIE ETOILE D'OR,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2162,1245/2012,2012,2012-06-29 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1438.32,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2163,1856/2012,2012,2012-08-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,33440.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2164,1924/2012,2012,2012-09-13 00:00:00,Achat de fournitures de bureau,Engagement,930.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2165,1727/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1479.47,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2166,1738/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1805.61,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2167,1570/2012,2012,2012-07-23 00:00:00,Achat de fournitures de bureau,Engagement,95010.0,PC FULL,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale TANGER TETOUAN (DRTT),Investissement
2168,1746/2012,2012,2012-08-06 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2807.06,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2169,2192/2012,2012,2012-10-02 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1543.2,CBI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
2170,2345/2012,2012,2012-10-08 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1029.5,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2171,38*/2012/9310,2012,2012-08-29 00:00:00,Voyage et déplacement									,Engagement,1000.0,STE NATIONALE DES AUTOROUTES DU MAROC,Bon de commandes,Voyages et déplacement,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2172,39/2012/9310,2012,2012-08-29 00:00:00,Achat de fournitures informatiques,Engagement,15600.0,STE J et W NEGOCE SARL ,Bon de commandes,Acquisition de fournitures informatiques,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2173,2258/2012,2012,2012-10-04 00:00:00,Achat de fournitures de bureau,Engagement,312.0,IMPRIMERIE ETOILE D'OR,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2174,2168/2012,2012,2012-10-01 00:00:00,Réception & participation aux manifestations officielles									,Engagement,4920.0,BERRAHIM  AHMED,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale TANGER TETOUAN (DRTT),Investissement
2175,2455/2012,2012,2012-10-16 00:00:00,Achat de fournitures de bureau,Engagement,396.6,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2176,2558/2012,2012,2012-10-23 00:00:00,Achat de fournitures de bureau,Engagement,1400.4,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2177,2483/2012,2012,2012-10-17 00:00:00,Achat de fournitures de bureau,Engagement,1653.6,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2178,2690/2012,2012,2012-11-05 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,11300.4,SCHINDLER MAROC,Bon de commandes,Service,Siege,Investissement
2179,2480/2012,2012,2012-10-17 00:00:00,Achat de fournitures de bureau,Engagement,228.0,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2180,2505/2012,2012,2012-10-19 00:00:00,Achat de fournitures informatiques,Engagement,145261.2,YOURS COMPUTER,Bon de commandes,Acquisition de fournitures informatiques,Direction régionale RABAT SALE (DRRS),Investissement
2181,2163/2012,2012,2012-10-01 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1800.0,AIT LAHCEN MED,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
2182,2553/2012,2012,2012-10-23 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,840.0,SCHIP,Bon de commandes,Service,Siege,Investissement
2183,2572/2012,2012,2012-10-25 00:00:00,Achat de fournitures de bureau,Engagement,4800.0,PC FULL,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale TANGER TETOUAN (DRTT),Investissement
2184,2937/2012,2012,2012-11-20 00:00:00,Achat de fournitures informatiques,Engagement,107268.0,FRERES DATAZOUTE,Marché Fournitures,Acquisition de fournitures informatiques,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2185,3384/2012,2012,2012-12-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,13200.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2186,3309/2012,2012,2012-12-06 00:00:00,Installations techniques,Engagement,50000.05,SOS ELECTROMENAGER,Bon de commandes,"Installations techniques, Matériel et Outillage",Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
2187,3344/2012,2012,2012-12-10 00:00:00,Achat de fournitures de bureau,Engagement,213.6,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2188,E03/2012/94100,2012,2012-11-29 00:00:00,"Agencements, techniques et aménagements divers",Engagement,14000.0,SOFAR S.A.R.L,Bon de commandes,"Installations techniques, Matériel et Outillage",Direction régionale FES-SAISS (DRFS),Investissement
2189,3009/2012,2012,2012-11-22 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,2421.36,OTIS MAROC,Bon de commandes,Service,Siege,Investissement
2190,3050/2012,2012,2012-11-26 00:00:00,"Achats de travaux, études et prestations de service",Engagement,1000.0,NAVARA BURO,Marché Fournitures,Acquisition du consommable informatique,Direction des moyens generaux,Investissement
2191,3051/2012,2012,2012-11-26 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1000.0,ACESS LAND,Marché Fournitures,Acquisition du consommable informatique,Direction des moyens generaux,Investissement
2192,3051/2012,2012,2012-11-26 00:00:00,Frais postaux									,Engagement,500.0,ACESS LAND,Marché Fournitures,Acquisition du consommable informatique,Direction des moyens generaux,Investissement
2193,3559/2012,2012,2012-12-24 00:00:00,Achat de fournitures de bureau,Engagement,158.4,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2194,3076/2012,2012,2012-11-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3560.75,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2195,3087/2012,2012,2012-11-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2548.21,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2196,720/2012/94100,2012,2012-12-04 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2574.0,STE EL BOUDALI ET FILS DE RESTAURATION,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale FES-SAISS (DRFS),Investissement
2197,3364/2012,2012,2012-12-10 00:00:00,Publications									,Engagement,295680.0,C&C STUDIO,Bon de commandes,Travaux d'impression,Ex Siége,Investissement
2198,3678/2012,2012,2013-01-02 00:00:00,Formation									,Engagement,72000.0,GOODWILL CONSULTING,Bon de commandes,Formation,Siege,Investissement
2199,3460/2012,2012,2012-12-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,23976.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2200,4294/2012,2012,2012-12-31 00:00:00,Achat de fournitures informatiques,Engagement,74820.0,MONDOFFICE,Marché Fournitures,Acquisition de fournitures informatiques,Direction régionale CASA ANFA (DRCA),Investissement
2201,369/2013/94100,2013,2013-07-04 00:00:00,Documentation générale									,Engagement,850.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
2202,1784/2013,2013,2013-07-05 00:00:00,Matériel informatique,Engagement,259416.0,IB MAROC.COM,Marché Fournitures,Acquisition de Matériel informatique,Siege,Investissement
2203,1797/2013,2013,2013-07-09 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2204,4309/2012,2012,2013-06-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,68257.6,HOTEL FARAH CASABLANCA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2205,2016/2013,2013,2013-07-24 00:00:00,Missions									,Engagement,4097.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
2206,2036/2013,2013,2013-07-25 00:00:00,Maintenance des agencements & installations techniques									,Engagement,1320.0,COMPUTER MORROCO SOLUTION ,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
2207,3570/2012,2012,2012-11-06 00:00:00,Achat de fournitures de bureau,Engagement,94440.0,MOUJAHIDCOM S.A.R.L,Marché Fournitures,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2208,3556/2012,2012,2012-12-24 00:00:00,Achat de fournitures de bureau,Engagement,193.2,MAPAMA,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2209,4698/2013,2013,2014-03-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,18000.0,VITA MAROC,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2210,2468/2013,2013,2013-09-11 00:00:00,Achat de fournitures de bureau,Engagement,35937.5,SOLPRINT ,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
2211,2477/2013,2013,2013-09-12 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1320.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2212,3359/2013,2013,2013-10-21 00:00:00,Réception & participation aux manifestations officielles									,Engagement,670.0,STE LA CALABRAISE PEZZIRIA MAHDI,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2213,2458/2013,2013,2013-09-11 00:00:00,Achat de fournitures de bureau,Engagement,437.76,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2214,3387/2013,2013,2013-11-13 00:00:00,Achat de fournitures de bureau,Engagement,309.6,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2215,4715/2013,2013,2013-10-01 00:00:00,Documentation générale									,Engagement,18833.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
2216,2999/2013,2013,2013-10-23 00:00:00,Publications									,Engagement,93600.0,VOTRE COM,Bon de commandes,Travaux d'impression,Siege,Investissement
2217,3210/2013,2013,2013-11-07 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,11700.0,UNIVERS NEON,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale TANGER TETOUAN (DRTT),Investissement
2218,3628/2013,2013,2013-11-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2520.0, SERVICE KENFAOUI S.A.R.L,Bon de commandes,Maintenance,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2219,2800/2013,2013,2013-07-11 00:00:00,Achat de fournitures de bureau,Engagement,300180.0,EDITION SANAA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
2220,536/2013/94100,2013,2013-10-09 00:00:00,Documentation générale									,Engagement,1048.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
2221,2814/2013,2013,2013-10-08 00:00:00,Missions									,Engagement,3503.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
2222,2486/2013,2013,2013-09-13 00:00:00,Achat de petit outillage et de petit équipement,Engagement,12276.0,KALIBRA,Bon de commandes,Acquisition de fournitures électriques,Siege,Investissement
2223,3767/2013,2013,2013-12-04 00:00:00,Missions									,Engagement,6136.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
2224,3795/2013,2013,2013-12-06 00:00:00,Documentation générale									,Engagement,40452.0,LIBRAIRIE LIVRE SERVICE,Bon de commandes,documentation générale,Siege,Investissement
2225,2459/2013,2013,2013-09-11 00:00:00,Achat de fournitures de bureau,Engagement,268.8,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2226,4103/2013,2013,2013-12-20 00:00:00,"Achat de fournitures non stockables (eau, électricité)									",Engagement,35229.86,LYDEC SA,Bon de commandes,Service,Siege,Investissement
2227,3627/2013,2013,2013-11-27 00:00:00,Maintenance des agencements & installations techniques									,Engagement,447816.86,IB MAROC.COM,Marché Services,Service,Siege,Investissement
2228,2799/2013,2013,2013-10-07 00:00:00,Missions									,Engagement,29422.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
2229,2156/2013,2013,2013-08-08 00:00:00,Voyage et déplacement									,Engagement,7416.0,ICO TOURS INTERNATIONAL,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2230,2318/2013,2013,2013-08-30 00:00:00,Maintenance des agencements & installations techniques									,Engagement,109017.6,INTELCOM,Marché Services,Service,Siege,Investissement
2231,4700/2013,2013,2013-08-03 00:00:00,Formation									,Engagement,163200.0,IMBT,Marché Services,Formation,Siege,Investissement
2232,3023/2013,2013,2013-10-24 00:00:00,Achat de fournitures de bureau,Engagement,12120.0,EXPO 6,Bon de commandes,Travaux d'impression,Siege,Investissement
2233,4356/2012,2012,2013-10-31 00:00:00,Achat de fournitures de bureau,Engagement,16380.0,MAILEVA MAROC ,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2234,1681/2013,2013,2013-06-25 00:00:00,Achat de fournitures de bureau,Engagement,519.84,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2235,51/2013,2013,2013-01-28 00:00:00,Achat de fournitures de bureau,Engagement,666.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2236,006/2013/94100,2012,2013-01-16 00:00:00,Documentation générale									,Engagement,760.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
2237,300/2013,2013,2013-02-25 00:00:00,Transport									,Engagement,5300.4,PLATEAUD'EQUIPEMENTGENERAL SARL,Bon de commandes,Travaux de transport,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2238,306/2013,2013,2013-03-04 00:00:00,Achat de fournitures de bureau,Engagement,1332.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2239,4318/2012,2012,2012-02-26 00:00:00,Mobilier de bureau,Engagement,134868.0,INSTALLATOR,Marché Fournitures,Acquisition du Mobilier de Bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2240,88/2013,2013,2013-01-29 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1628.0,Ste  AYOUR,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2241,4194/2012,2012,2013-03-12 00:00:00,Agencements et améganements des agences et des représentations,Engagement,2728140.0,LYS MARBRE,Marché Travaux,Travaux,Siege,Investissement
2242,583/2013,2013,2013-03-29 00:00:00,Achat de fournitures de bureau,Engagement,6000.0,TAHER ILYAS,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale TANGER TETOUAN (DRTT),Investissement
2243,610/2013,2013,2013-02-21 00:00:00,Achat de fournitures de bureau,Engagement,13440.0,ULTRANET MULTIMEDIA,Bon de commandes,Acquisition du consommable bureautique,Direction régionale CASA ANFA (DRCA),Investissement
2244,3732/2013,2013,2013-12-02 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1800.0,SURATEM SARL,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale TANGER TETOUAN (DRTT),Investissement
2245,4055/2013,2013,2013-12-18 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,27780.0,STE GLOBE BUREAUTIQUE SARL...,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2246,80/2013,2013,2013-01-28 00:00:00,Achat de fournitures de bureau,Engagement,192.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2247,1334/2013,2013,2013-05-29 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3278.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2248,4007/2012,2012,2013-02-07 00:00:00,Achat de fournitures de bureau,Engagement,16200.0,SOLPRINT ,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
2249,602/2013,2013,2013-04-01 00:00:00,Documentation générale									,Engagement,300.0,IMP OFFICIELLE,Bon de commandes,documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2250,3910/2013,2013,2013-12-12 00:00:00,Achat de fournitures de bureau,Engagement,185.76,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2251,812/2013,2013,2013-04-18 00:00:00,Primes de publicité									,Engagement,90720.0,AL HAMBRA DESIGN,Bon de commandes,Service,Siege,Investissement
2252,348/2013,2013,2013-03-07 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1364.0, STE AFRAH BENLAFKIH,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2253,1678/2013,2013,2013-06-25 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2254,619/2013,2013,2013-04-02 00:00:00,Achat de fournitures de bureau,Engagement,3420.0,CREATIS,Bon de commandes,Travaux d'impression,Siege,Investissement
2255,4230/2012,2012,2013-04-08 00:00:00,Logiciels et Progiciels,Engagement,4382100.0,CORPORATE SOFTWARE,Marché Services,Logiciel,Ex Siége,Investissement
2256,744/2013,2013,2013-04-10 00:00:00,"Achats de travaux, études et prestations de service",Engagement,611886.0,STE IKRAM SERVICE NET Narimane,Marché Services,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
2257,4303/2012,2012,2013-06-04 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1689.6,HOTEL FARAH CASABLANCA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2258,4313/2012,2012,2013-06-06 00:00:00,Réception & participation aux manifestations officielles									,Engagement,8360.0,RESTAURANT LA FIBULE,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2259,73/2013,2013,2013-01-28 00:00:00,Formation									,Engagement,17500.0,Faculté des S.J.E.S settat,Bon de commandes,Formation,Siege,Investissement
2260,77/2013,2013,2013-01-28 00:00:00,Formation									,Engagement,31500.0,ENCG FES,Bon de commandes,Formation,Siege,Investissement
2261,3686/2012,2012,2012-12-31 00:00:00,"Agencements, techniques et aménagements divers",Engagement,33120.0,STE KSAR SARA S.A.R.L,Bon de commandes,Travaux,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2262,4232/2012,2012,2012-11-09 00:00:00,Agencements et améganements des agences et des représentations,Engagement,962856.0,TRAVEAST S.A.R.L,Marché Travaux,Travaux,Siege,Investissement
2263,696/2013/94100,2013,2013-12-10 00:00:00,Documentation générale									,Engagement,1356.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
2264,1732/2013,2013,2013-07-01 00:00:00,Achat de fournitures de bureau,Engagement,643.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2265,1734/2013,2013,2013-07-01 00:00:00,Achat de fournitures de bureau,Engagement,841.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
